id,name,price,currency,features,limits,display_order,is_active,created_at,updated_at
advanced,Advanced,14999.00,INR,"{""patients"": true, ""api_access"": false, ""mobile_app"": true, ""appointments"": true, ""file_storage"": true, ""custom_fields"": true, ""custom_branding"": false, ""medical_records"": true}","{""max_users"": 25, ""storage_gb"": 10, ""max_patients"": 2000, ""api_calls_per_day"": 10000}",2,t,2025-11-04 13:28:16.364672,2025-11-05 10:51:15.523736
basic,Basic,4999.00,INR,"{""patients"": true, ""api_access"": false, ""mobile_app"": false, ""appointments"": true, ""file_storage"": false, ""custom_fields"": false, ""custom_branding"": false, ""medical_records"": false}","{""max_users"": 5, ""storage_gb"": 0, ""max_patients"": 500, ""api_calls_per_day"": 0}",1,t,2025-11-04 13:28:16.364672,2025-11-05 10:51:15.523736
premium,Premium,29999.00,INR,"{""patients"": true, ""api_access"": true, ""mobile_app"": true, ""appointments"": true, ""file_storage"": true, ""custom_fields"": true, ""custom_branding"": true, ""medical_records"": true}","{""max_users"": -1, ""storage_gb"": -1, ""max_patients"": -1, ""api_calls_per_day"": -1}",3,t,2025-11-04 13:28:16.364672,2025-11-05 10:51:15.523736
